date,season,home_team,away_team,home_score,away_score,venue
2019-08-11,2019,Portland Thorns FC,North Carolina Courage,2,1,Providence Park
2019-08-11,2019,Seattle Reign FC,Utah Royals FC,1,3,Cheney Stadium
2019-08-14,2019,Gotham FC,Chicago Stars FC,2,1,RWJBarnabas Health Stadium at Yurcak Field
2019-08-17,2019,Orlando Pride,Utah Royals FC,0,2,Inter&Co Stadium
2019-08-18,2019,Portland Thorns FC,Washington Spirit,3,1,Providence Park
2019-08-18,2019,Gotham FC,Seattle Reign FC,1,1,Sports Illustrated Stadium
2019-08-21,2019,Chicago Stars FC,Orlando Pride,1,2,SeatGeek Stadium
2019-08-21,2019,Washington Spirit,Utah Royals FC,0,0,Maryland SoccerPlex
2019-08-24,2019,Washington Spirit,Orlando Pride,2,1,Audi Field
2019-08-24,2019,North Carolina Courage,Seattle Reign FC,1,0,WakeMed Soccer Park
2019-08-25,2019,Houston Dash,Gotham FC,1,2,Shell Energy Stadium
2019-08-25,2019,Portland Thorns FC,Chicago Stars FC,3,0,Providence Park
2019-09-07,2019,Utah Royals FC,Portland Thorns FC,1,0,America First Field
2019-09-07,2019,Gotham FC,North Carolina Courage,1,2,RWJBarnabas Health Stadium at Yurcak Field
2019-09-08,2019,Seattle Reign FC,Orlando Pride,3,1,Cheney Stadium
2019-09-08,2019,Chicago Stars FC,Houston Dash,3,0,SeatGeek Stadium
2019-09-11,2019,Orlando Pride,Chicago Stars FC,0,1,Inter&Co Stadium
2019-09-12,2019,Portland Thorns FC,North Carolina Courage,0,6,Providence Park
2019-09-14,2019,Houston Dash,Utah Royals FC,2,1,Shell Energy Stadium
2019-09-14,2019,North Carolina Courage,Orlando Pride,6,1,WakeMed Soccer Park
2019-09-14,2019,Washington Spirit,Seattle Reign FC,2,2,Audi Field
2019-09-15,2019,Gotham FC,Chicago Stars FC,0,3,RWJBarnabas Health Stadium at Yurcak Field
2019-09-17,2019,North Carolina Courage,Houston Dash,1,0,WakeMed Soccer Park
2019-09-22,2019,Portland Thorns FC,Houston Dash,1,0,Providence Park
2019-09-22,2019,Seattle Reign FC,Gotham FC,0,1,Cheney Stadium
2019-09-22,2019,Chicago Stars FC,Washington Spirit,3,1,SeatGeek Stadium
2019-09-22,2019,Utah Royals FC,North Carolina Courage,0,3,America First Field
2019-09-26,2019,Houston Dash,Washington Spirit,0,0,Shell Energy Stadium
2019-09-26,2019,Seattle Reign FC,Utah Royals FC,2,1,Cheney Stadium
2019-09-28,2019,Washington Spirit,North Carolina Courage,2,1,Maryland SoccerPlex
2019-09-29,2019,Chicago Stars FC,Utah Royals FC,2,1,SeatGeek Stadium
2019-09-29,2019,Gotham FC,Orlando Pride,1,1,Sports Illustrated Stadium
2019-09-29,2019,Seattle Reign FC,Portland Thorns FC,2,0,Cheney Stadium
2019-10-05,2019,Orlando Pride,Washington Spirit,0,3,Inter&Co Stadium
2019-10-12,2019,North Carolina Courage,Gotham FC,3,2,WakeMed Soccer Park
2019-10-12,2019,Orlando Pride,Seattle Reign FC,2,2,Inter&Co Stadium
2019-10-13,2019,Utah Royals FC,Houston Dash,2,1,America First Field
2019-10-13,2019,Portland Thorns FC,Washington Spirit,0,0,Providence Park
